,CODE,SERIAL,NAME,TYPE1,TYPE2,COLOR,ABILITY1,ABILITY2,ABILITY HIDDEN,GENERATION,HEIGHT,WEIGHT,HP,ATK,DEF,SP_ATK,SP_DEF,SPD,TOTAL
199,#031,#166,Ledian,Bug,Flying,Red,Swarm,Early Bird,Iron Fist ,2,1.4,35.6,55,35,50,55,110,85,390
200,#032,#167,Spinarak,Bug,Poison,Green,Swarm,Insomnia,Sniper ,2,0.5,8.5,40,60,40,40,40,30,250
201,#033,#168,Ariados,Bug,Poison,Red,Swarm,Insomnia,Sniper ,2,1.1,33.5,70,90,70,60,60,40,390
202,#039,#169,Crobat,Poison,Flying,Purple,Inner Focus,0,Infiltrator ,2,1.8,75.0,85,90,80,70,80,130,535
203,#176,#170,Chinchou,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb ,2,0.5,12.0,75,38,38,56,56,67,330
204,#177,#171,Lanturn,Water,Electric,Blue,Volt Absorb,Illuminate,Water Absorb ,2,1.2,22.5,125,58,58,76,76,67,460
205,#021,#172,Pichu,Electric,0,Yellow,Static,0,Lightning Rod ,2,0.3,2.0,20,40,15,35,35,60,205
206,#040,#173,Cleffa,Fairy,0,Pink,Cute Charm,Magic Guard,Friend Guard ,2,0.3,3.0,50,25,28,45,55,15,218
207,#044,#174,Igglybuff,Normal,Fairy,Pink,Cute Charm,Competitive,Friend Guard ,2,0.3,1.0,90,30,15,40,20,15,210
208,#046,#175,Togepi,Fairy,0,White,Hustle,Serene Grace,Super Luck ,2,0.3,1.5,35,20,65,40,65,20,245
209,#047,#176,Togetic,Fairy,Flying,White,Hustle,Serene Grace,Super Luck ,2,0.6,3.2,55,40,85,80,105,40,405
210,#161,#177,Natu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce ,2,0.2,2.0,40,50,45,70,45,70,320
211,#162,#178,Xatu,Psychic,Flying,Green,Synchronize,Early Bird,Magic Bounce ,2,1.5,15.0,65,75,70,95,70,95,470
212,#053,#179,Mareep,Electric,0,White,Static,0,Plus ,2,0.6,7.8,55,40,40,65,45,35,280
213,#054,#180,Flaaffy,Electric,0,Pink,Static,0,Plus ,2,0.8,13.3,70,55,55,80,60,45,365
214,#055,#181,Ampharos,Electric,0,Yellow,StaticAmpharos,0,Plus ,2,1.4,61.5,90,75,75,115,90,55,500
215,#086,#182,Bellossom,Grass,0,Green,Chlorophyll,0,Healer ,2,0.4,5.8,75,80,85,90,100,50,480
216,#132,#183,Marill,Water,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper ,2,0.4,8.5,70,20,50,20,50,40,250
217,#133,#184,Azumarill,Water,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper ,2,0.8,28.5,100,50,80,50,80,50,410
218,#107,#185,Sudowoodo,Rock,0,Brown,Sturdy,Rock Head,Rattled ,2,1.2,38.0,70,100,115,30,65,30,410
219,#075,#186,Politoed,Water,0,Green,Water Absorb,Damp,Drizzle ,2,1.1,33.9,90,75,75,90,100,70,500
220,#067,#187,Hoppip,Grass,Flying,Pink,Chlorophyll,Leaf Guard,Infiltrator ,2,0.4,0.5,35,35,40,35,55,50,250
221,#068,#188,Skiploom,Grass,Flying,Green,Chlorophyll,Leaf Guard,Infiltrator ,2,0.6,1.0,55,45,50,45,65,80,340
222,#069,#189,Jumpluff,Grass,Flying,Blue,Chlorophyll,Leaf Guard,Infiltrator ,2,0.8,3.0,75,55,70,55,85,110,450
223,#123,#190,Aipom,Normal,0,Purple,Run Away,Pickup,Skill Link ,2,0.8,11.5,55,70,55,40,55,85,360
224,#103,#191,Sunkern,Grass,0,Yellow,Chlorophyll,Solar Power,Early Bird ,2,0.3,1.8,30,30,30,30,30,30,180
225,#104,#192,Sunflora,Grass,0,Yellow,Chlorophyll,Solar Power,Early Bird ,2,0.8,8.5,75,75,55,105,85,30,425
226,#101,#193,Yanma,Bug,Flying,Red,Speed Boost,Compound Eyes,Frisk ,2,1.2,38.0,65,65,45,75,45,95,390
227,#056,#194,Wooper,Water,Ground,Blue,Damp,Water Absorb,Unaware ,2,0.4,8.5,55,45,45,25,25,15,210
228,#057,#195,Quagsire,Water,Ground,Blue,Damp,Water Absorb,Unaware ,2,1.4,75.0,95,85,85,65,65,35,430
229,#188,#196,Espeon,Psychic,0,Purple,Synchronize,0,Magic Bounce ,2,0.9,26.5,65,65,60,130,95,110,525
230,#189,#197,Umbreon,Dark,0,Black,Synchronize,0,Inner Focus ,2,1.0,27.0,95,65,110,60,130,65,525
231,#213,#198,Murkrow,Dark,Flying,Black,Insomnia,Super Luck,Prankster ,2,0.5,2.1,60,85,42,85,42,91,405
232,#082,#199,Slowking,Water,Psychic,Pink,Oblivious,Own TempoSlowking,Regenerator ,2,2.0,79.5,95,75,80,100,110,30,490
233,,#199,Slowking,Poison,Psychic,Pink,Oblivious,Own TempoSlowking,Regenerator ,2,2.0,79.5,95,75,80,100,110,30,490
234,#219,#200,Misdreavus,Ghost,0,Gray,0,0,Cacophony ,2,0.7,1.0,60,60,60,85,85,85,435
235,#061,#201,Unown,Psychic,0,Black,0,0,Cacophony ,2,0.5,5.0,48,72,48,72,48,48,336
236,#108,#202,Wobbuffet,Psychic,0,Blue,Shadow Tag,0,Telepathy ,2,1.3,28.5,190,33,58,33,58,33,405
237,#149,#203,Girafarig,Normal,Psychic,Yellow,Inner Focus,Early Bird,Sap Sipper ,2,1.5,41.5,70,80,65,90,65,85,455
238,#093,#204,Pineco,Bug,0,Gray,Sturdy,0,Overcoat ,2,0.6,7.2,50,65,90,35,35,15,290
239,#094,#205,Forretress,Bug,Steel,Purple,Sturdy,0,Overcoat ,2,1.2,125.8,75,90,140,60,60,40,465
240,#052,#206,Dunsparce,Normal,0,Yellow,Serene Grace,Run Away,Rattled ,2,1.5,14.0,100,70,70,65,65,45,415
241,#193,#207,Gligar,Ground,Flying,Purple,Hyper Cutter,Sand Veil,Immunity ,2,1.1,64.8,65,75,105,35,65,85,430
242,#063,#208,Steelix,Steel,Ground,Gray,Rock Head,SturdySteelix,Sheer Force ,2,9.2,400.0,75,85,200,55,65,30,510
243,#125,#209,Snubbull,Fairy,0,Pink,Intimidate,Run Away,Rattled ,2,0.6,7.8,60,80,50,40,40,30,300
244,#126,#210,Granbull,Fairy,0,Purple,Intimidate,Quick Feet,Rattled ,2,1.4,48.7,90,120,75,60,60,45,450
245,#163,#211,Qwilfish,Water,Poison,Gray,Poison Point,Swift Swim,Intimidate ,2,0.5,3.9,65,95,75,55,55,85,430
246,,#211,Qwilfish,Dark,Poison,Gray,Poison Point,Swift Swim,Intimidate ,2,0.5,3.9,65,95,75,55,55,85,430
247,#112,#212,Scizor,Bug,Steel,Red,Swarm,TechnicianScizor,Light Metal ,2,1.8,118.0,70,130,100,55,80,65,500
248,#168,#213,Shuckle,Bug,Rock,Yellow,Sturdy,Gluttony,Contrary ,2,0.6,20.5,20,10,230,10,230,5,505
249,#114,#214,Heracross,Bug,Fighting,Blue,Swarm,GutsHeracross,Moxie ,2,1.5,54.0,80,125,75,40,95,85,500
250,#218,#215,Sneasel,Dark,Ice,Black,Inner Focus,Keen Eye,PickpocketSneasel ,2,0.9,28.0,55,95,55,35,75,115,430
251,,#215,Sneasel,Fighting,Poison,Black,Inner Focus,Keen Eye,PickpocketSneasel ,2,0.9,28.0,55,95,55,35,75,115,430
252,#198,#216,Teddiursa,Normal,0,Brown,Pickup,Quick Feet,Honey Gather ,2,0.6,8.8,60,80,50,50,50,40,330
253,#199,#217,Ursaring,Normal,0,Brown,Guts,Quick Feet,Unnerve ,2,1.8,125.8,90,130,75,75,75,55,500
254,#216,#218,Slugma,Fire,0,Red,Magma Armor,Flame Body,Weak Armor ,2,0.7,35.0,40,40,40,70,40,20,250
255,#217,#219,Magcargo,Fire,Rock,Red,Magma Armor,Flame Body,Weak Armor ,2,0.8,55.0,50,50,120,80,80,30,410
256,#195,#220,Swinub,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat ,2,0.4,6.5,50,50,40,30,30,50,250
257,#196,#221,Piloswine,Ice,Ground,Brown,Oblivious,Snow Cloak,Thick Fat ,2,1.1,55.8,100,100,80,60,60,50,450
258,#173,#222,Corsola,Water,Rock,Pink,Hustle,Natural CureCorsola,RegeneratorCorsola ,2,0.6,5.0,55,55,85,65,85,35,380
259,,#222,Corsola,Ghost,0,Pink,Hustle,Natural CureCorsola,RegeneratorCorsola ,2,0.6,5.0,55,55,85,65,85,35,380
260,#174,#223,Remoraid,Water,0,Gray,Hustle,Sniper,Moody ,2,0.6,12.0,35,65,35,65,35,65,300
261,#175,#224,Octillery,Water,0,Red,Suction Cups,Sniper,Moody ,2,0.9,28.5,75,105,75,105,75,45,480
262,#194,#225,Delibird,Ice,Flying,Red,Vital Spirit,Hustle,Insomnia ,2,0.9,16.0,45,55,45,65,45,75,330
263,#202,#226,Mantine,Water,Flying,Purple,Swift Swim,Water Absorb,Water Veil ,2,2.1,220.0,65,40,70,80,140,70,465
264,#203,#227,Skarmory,Steel,Flying,Gray,Keen Eye,Sturdy,Weak Armor ,2,1.7,50.5,65,80,140,40,70,70,465
265,#214,#228,Houndour,Dark,Fire,Black,Early Bird,Flash Fire,Unnerve ,2,0.6,10.8,45,60,30,80,50,65,330
266,#215,#229,Houndoom,Dark,Fire,Black,Early Bird,Flash FireHoundoom,Unnerve ,2,1.4,35.0,75,90,50,110,80,95,500
267,#192,#230,Kingdra,Water,Dragon,Blue,Swift Swim,Sniper,Damp ,2,1.8,152.0,75,95,95,95,95,85,540
268,#200,#231,Phanpy,Ground,0,Blue,Pickup,0,Sand Veil ,2,0.5,33.5,90,60,60,40,40,40,330
269,#201,#232,Donphan,Ground,0,Gray,Sturdy,0,Sand Veil ,2,1.1,120.0,90,120,120,60,60,50,500
270,#221,#233,Porygon2,Normal,0,Red,Trace,Download,Analytic ,2,0.6,32.5,85,80,90,105,95,60,515
271,#131,#234,Stantler,Normal,0,Brown,Intimidate,Frisk,Sap Sipper ,2,1.4,71.2,73,95,62,85,65,85,465
272,#159,#235,Smeargle,Normal,0,White,Own Tempo,Technician,Moody ,2,1.2,58.0,55,20,35,20,45,75,250
273,#145,#236,Tyrogue,Fighting,0,Purple,Guts,Steadfast,Vital Spirit ,2,0.7,21.0,35,35,35,35,35,35,210
274,#148,#237,Hitmontop,Fighting,0,Brown,Intimidate,Technician,Steadfast ,2,1.4,48.0,50,95,95,35,110,70,455
275,#154,#238,Smoochum,Ice,Psychic,Pink,Oblivious,Forewarn,Hydration ,2,0.4,6.0,45,30,15,85,65,65,305
276,#156,#239,Elekid,Electric,0,Yellow,Static,0,Vital Spirit ,2,0.6,23.5,45,63,37,65,55,95,360
277,#152,#240,Magby,Fire,0,Red,Flame Body,0,Vital Spirit ,2,0.7,21.4,45,75,37,70,55,83,365
278,#151,#241,Miltank,Normal,0,Pink,Thick Fat,Scrappy,Sap Sipper ,2,1.2,75.5,95,80,105,40,70,100,490
279,#223,#242,Blissey,Normal,0,Pink,Natural Cure,Serene Grace,Healer ,2,1.5,46.8,255,10,10,75,135,55,540
280,#243,#243,Raikou,Electric,0,Yellow,Pressure,0,Inner Focus ,2,1.9,178.0,90,85,75,115,100,115,580
281,#244,#244,Entei,Fire,0,Brown,Pressure,0,Inner Focus ,2,2.1,198.0,115,115,85,90,75,100,580
282,#245,#245,Suicune,Water,0,Blue,Pressure,0,Inner Focus ,2,2.0,187.0,100,75,115,90,115,85,580
283,#249,#246,Larvitar,Rock,Ground,Green,Guts,0,Sand Veil ,2,0.6,72.0,50,64,50,45,50,41,300
284,#250,#247,Pupitar,Rock,Ground,Gray,0,0,Cacophony ,2,1.2,152.0,70,84,70,65,70,51,410
285,#251,#248,Tyranitar,Rock,Dark,Green,Sand StreamTyranitar,0,Unnerve ,2,2.0,202.0,100,134,110,95,100,61,600
286,#252,#249,Lugia,Psychic,Flying,White,Pressure,0,Multiscale ,2,5.2,216.0,106,90,130,90,154,110,680
287,#253,#250,Ho-Oh,Fire,Flying,Red,Pressure,0,Regenerator ,2,3.8,199.0,106,130,90,110,154,90,680
288,#256,#251,Celebi,Psychic,Grass,Green,0,0,Cacophony ,2,0.6,5.0,100,100,100,100,100,100,600
289,#001,#252,Treecko,Grass,0,Green,Overgrow,0,Unburden ,3,0.5,5.0,40,45,35,65,55,70,310
290,#002,#253,Grovyle,Grass,0,Green,Overgrow,0,Unburden ,3,0.9,21.6,50,65,45,85,65,95,405
291,#003,#254,Sceptile,Grass,0,Green,OvergrowSceptile,0,Unburden ,3,1.7,52.2,70,85,65,105,85,120,530
292,#004,#255,Torchic,Fire,0,Red,Blaze,0,Speed Boost ,3,0.4,2.5,45,60,40,70,50,45,310
293,#005,#256,Combusken,Fire,Fighting,Red,Blaze,0,Speed Boost ,3,0.9,19.5,60,85,60,85,60,55,405
294,#006,#257,Blaziken,Fire,Fighting,Red,BlazeBlaziken,0,Speed Boost ,3,1.9,52.0,80,120,70,110,70,80,530
295,#007,#258,Mudkip,Water,0,Blue,Torrent,0,Damp ,3,0.4,7.6,50,70,50,50,50,40,310
296,#008,#259,Marshtomp,Water,Ground,Blue,Torrent,0,Damp ,3,0.7,28.0,70,85,70,60,70,50,405
297,#009,#260,Swampert,Water,Ground,Blue,TorrentSwampert,0,Damp ,3,1.5,81.9,100,110,90,85,90,60,535
298,#010,#261,Poochyena,Dark,0,Gray,Run Away,Quick Feet,Rattled ,3,0.5,13.6,35,55,35,30,30,35,220
299,#011,#262,Mightyena,Dark,0,Gray,Intimidate,Quick Feet,Moxie ,3,1.0,37.0,70,90,70,60,60,70,420
300,#012,#263,Zigzagoon,Normal,0,Brown,Pickup,Gluttony,Quick Feet ,3,0.4,17.5,38,30,41,30,41,60,240
301,,#263,Zigzagoon,Dark,Normal,Brown,Pickup,Gluttony,Quick Feet ,3,0.4,17.5,38,30,41,30,41,60,240
302,#013,#264,Linoone,Normal,0,White,Pickup,Gluttony,Quick Feet ,3,0.5,32.5,78,70,61,50,61,100,420
303,,#264,Linoone,Dark,Normal,White,Pickup,Gluttony,Quick Feet ,3,0.5,32.5,78,70,61,50,61,100,420
304,#014,#265,Wurmple,Bug,0,Red,Shield Dust,0,Run Away ,3,0.3,3.6,45,45,35,20,30,20,195
305,#015,#266,Silcoon,Bug,0,White,0,0,Cacophony ,3,0.6,10.0,50,35,55,25,25,15,205
306,#016,#267,Beautifly,Bug,Flying,Yellow,Swarm,0,Rivalry ,3,1.0,28.4,60,70,50,90,50,65,385
307,#017,#268,Cascoon,Bug,0,Purple,0,0,Cacophony ,3,0.7,11.5,50,35,55,25,25,15,205
308,#018,#269,Dustox,Bug,Poison,Green,Shield Dust,0,Compound Eyes ,3,1.2,31.6,60,50,70,50,90,65,385
309,#019,#270,Lotad,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo ,3,0.5,2.6,40,30,30,40,50,30,220
310,#020,#271,Lombre,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo ,3,1.2,32.5,60,50,50,60,70,50,340
311,#021,#272,Ludicolo,Water,Grass,Green,Swift Swim,Rain Dish,Own Tempo ,3,1.5,55.0,80,70,70,90,100,70,480
312,#022,#273,Seedot,Grass,0,Brown,Chlorophyll,Early Bird,Pickpocket ,3,0.5,4.0,40,40,50,30,30,30,220
313,#023,#274,Nuzleaf,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket ,3,1.0,28.0,70,70,40,60,40,60,340
314,#024,#275,Shiftry,Grass,Dark,Brown,Chlorophyll,Early Bird,Pickpocket ,3,1.3,59.6,90,100,60,90,60,80,480
315,#025,#276,Taillow,Normal,Flying,Blue,Guts,0,Scrappy ,3,0.3,2.3,40,55,30,30,30,85,270
316,#026,#277,Swellow,Normal,Flying,Blue,Guts,0,Scrappy ,3,0.7,19.8,60,85,60,50,50,125,430
317,#027,#278,Wingull,Water,Flying,White,Keen Eye,HydrationGen VII+,Rain Dish ,3,0.6,9.5,40,30,30,55,30,85,270
318,#028,#279,Pelipper,Water,Flying,Yellow,Keen Eye,DrizzleGen VII+,Rain Dish ,3,1.2,28.0,60,50,100,85,70,65,430
319,#029,#280,Ralts,Psychic,Fairy,White,Synchronize,Trace,Telepathy ,3,0.4,6.6,28,25,25,45,35,40,198
320,#030,#281,Kirlia,Psychic,Fairy,White,Synchronize,Trace,Telepathy ,3,0.8,20.2,38,35,35,65,55,50,278
321,#031,#282,Gardevoir,Psychic,Fairy,White,Synchronize,TraceGardevoir,Telepathy ,3,1.6,48.4,68,65,65,125,115,80,518
322,#032,#283,Surskit,Bug,Water,Blue,Swift Swim,0,Rain Dish ,3,0.5,1.7,40,30,32,50,52,65,269
323,#033,#284,Masquerain,Bug,Flying,Blue,Intimidate,0,Unnerve ,3,0.8,3.6,70,60,62,80,82,60,414
324,#034,#285,Shroomish,Grass,0,Brown,Effect Spore,Poison Heal,Quick Feet ,3,0.4,4.5,60,40,60,40,60,35,295
325,#035,#286,Breloom,Grass,Fighting,Green,Effect Spore,Poison Heal,Technician ,3,1.2,39.2,60,130,80,60,60,70,460
326,#036,#287,Slakoth,Normal,0,Brown,0,0,Cacophony ,3,0.8,24.0,60,60,60,35,35,30,280
327,#037,#288,Vigoroth,Normal,0,White,0,0,Cacophony ,3,1.4,46.5,80,80,80,55,55,90,440
328,#038,#289,Slaking,Normal,0,Brown,0,0,Cacophony ,3,2.0,130.5,150,160,100,95,65,100,670
329,#042,#290,Nincada,Bug,Ground,Gray,Compound Eyes,0,Run Away ,3,0.5,5.5,31,45,90,30,30,40,266
330,#043,#291,Ninjask,Bug,Flying,Yellow,Speed Boost,0,Infiltrator ,3,0.8,12.0,61,90,45,50,50,160,456
331,#044,#292,Shedinja,Bug,Ghost,Brown,0,0,Cacophony ,3,0.8,1.2,1,90,45,30,30,40,236
332,#045,#293,Whismur,Normal,0,Pink,Soundproof,0,Rattled ,3,0.6,16.3,64,51,23,51,23,28,240
333,#046,#294,Loudred,Normal,0,Blue,Soundproof,0,Scrappy ,3,1.0,40.5,84,71,43,71,43,48,360
334,#047,#295,Exploud,Normal,0,Blue,Soundproof,0,Scrappy ,3,1.5,84.0,104,91,63,91,63,68,480
335,#048,#296,Makuhita,Fighting,0,Yellow,Thick Fat,Guts,Sheer Force ,3,1.0,86.4,72,60,30,20,30,25,237
336,#049,#297,Hariyama,Fighting,0,Brown,Thick Fat,Guts,Sheer Force ,3,2.3,253.8,144,120,60,40,60,50,474
337,#054,#298,Azurill,Normal,Fairy,Blue,Thick Fat,Huge Power,Sap Sipper ,3,0.2,2.0,50,20,40,20,40,20,190
338,#060,#299,Nosepass,Rock,0,Gray,Sturdy,Magnet Pull,Sand Force ,3,1.0,97.0,30,45,135,45,90,30,375
339,#061,#300,Skitty,Normal,0,Pink,Cute Charm,Normalize,Wonder Skin ,3,0.6,11.0,50,45,45,35,35,50,260
340,#062,#301,Delcatty,Normal,0,Purple,Cute Charm,Normalize,Wonder Skin ,3,1.1,32.6,70,65,65,55,55,70,380
341,#068,#302,Sableye,Dark,Ghost,Purple,Keen Eye,StallSableye,Prankster ,3,0.5,11.0,50,75,75,65,65,50,380
342,#069,#303,Mawile,Steel,Fairy,Black,Hyper Cutter,IntimidateMawile,Sheer Force ,3,0.6,11.5,50,85,85,55,55,50,380
343,#070,#304,Aron,Steel,Rock,Gray,Sturdy,Rock Head,Heavy Metal ,3,0.4,60.0,50,70,100,40,40,30,330
344,#071,#305,Lairon,Steel,Rock,Gray,Sturdy,Rock Head,Heavy Metal ,3,0.9,120.0,60,90,140,50,50,40,430
345,#072,#306,Aggron,Steel,Rock,Gray,Sturdy,Rock HeadAggron,Heavy Metal ,3,2.1,360.0,70,110,180,60,60,50,530
346,#076,#307,Meditite,Fighting,Psychic,Blue,Pure Power,0,Telepathy ,3,0.6,11.2,30,40,55,40,55,60,280
347,#077,#308,Medicham,Fighting,Psychic,Red,Pure PowerMedicham,0,Telepathy ,3,1.3,31.5,60,60,75,60,75,80,410
348,#078,#309,Electrike,Electric,0,Green,Static,Lightning Rod,Minus ,3,0.6,15.2,40,45,40,65,40,65,295
349,#079,#310,Manectric,Electric,0,Yellow,Static,Lightning RodManectric,Minus ,3,1.5,40.2,70,75,60,105,60,105,475
350,#080,#311,Plusle,Electric,0,Yellow,Plus,0,Lightning RodGen VI+ ,3,0.4,4.2,60,50,40,85,75,95,405
351,#081,#312,Minun,Electric,0,Yellow,Minus,0,Volt AbsorbGen VI+ ,3,0.4,4.2,60,40,50,75,85,95,405
352,#086,#313,Volbeat,Bug,0,Gray,Illuminate,Swarm,Prankster ,3,0.7,17.7,65,73,55,47,75,85,400
353,#087,#314,Illumise,Bug,0,Purple,Oblivious,Tinted Lens,Prankster ,3,0.6,17.7,65,47,55,73,75,85,400
354,#094,#315,Roselia,Grass,Poison,Green,Natural Cure,Poison Point,Leaf Guard ,3,0.3,2.0,50,60,45,100,80,65,400
355,#095,#316,Gulpin,Poison,0,Green,Liquid Ooze,Sticky Hold,Gluttony ,3,0.4,10.3,70,43,53,43,53,40,302
356,#096,#317,Swalot,Poison,0,Purple,Liquid Ooze,Sticky Hold,Gluttony ,3,1.7,80.0,100,73,83,73,83,55,467
357,#097,#318,Carvanha,Water,Dark,Red,Rough Skin,0,Speed Boost ,3,0.8,20.8,45,90,20,65,20,65,305
358,#098,#319,Sharpedo,Water,Dark,Blue,Rough SkinSharpedo,0,Speed Boost ,3,1.8,88.8,70,120,40,95,40,95,460
359,#099,#320,Wailmer,Water,0,Blue,Water Veil,Oblivious,Pressure ,3,2.0,130.0,130,70,35,70,35,60,400
360,#100,#321,Wailord,Water,0,Blue,Water Veil,Oblivious,Pressure ,3,14.5,398.0,170,90,45,90,45,60,500
361,#101,#322,Numel,Fire,Ground,Yellow,Oblivious,Simple,Own Tempo ,3,0.7,24.0,60,60,40,65,45,35,305
362,#102,#323,Camerupt,Fire,Ground,Red,Magma Armor,Solid RockCamerupt,Anger Point ,3,1.9,220.0,70,100,70,105,75,40,460
363,#105,#324,Torkoal,Fire,0,Brown,White Smoke,DroughtGen VII+,Shell Armor ,3,0.5,80.4,70,85,140,85,70,20,470
364,#110,#325,Spoink,Psychic,0,Black,Thick Fat,Own Tempo,Gluttony ,3,0.7,30.6,60,25,35,70,80,60,330
365,#111,#326,Grumpig,Psychic,0,Purple,Thick Fat,Own Tempo,Gluttony ,3,0.9,71.5,80,45,65,90,110,80,470
366,#114,#327,Spinda,Normal,0,Brown,Own Tempo,Tangled Feet,Contrary ,3,1.1,5.0,60,60,60,60,60,60,360
367,#116,#328,Trapinch,Ground,0,Brown,Hyper Cutter,Arena Trap,Sheer Force ,3,0.7,15.0,45,100,45,45,45,10,290
368,#117,#329,Vibrava,Ground,Dragon,Green,0,0,Cacophony ,3,1.1,15.3,50,70,50,50,50,70,340
369,#118,#330,Flygon,Ground,Dragon,Green,0,0,Cacophony ,3,2.0,82.0,80,100,80,80,80,100,520
370,#119,#331,Cacnea,Grass,0,Green,Sand Veil,0,Water Absorb ,3,0.4,51.3,50,85,40,85,40,35,335
371,#120,#332,Cacturne,Grass,Dark,Green,Sand Veil,0,Water Absorb ,3,1.3,77.4,70,115,60,115,60,55,475
372,#121,#333,Swablu,Normal,Flying,Blue,Natural Cure,0,Cloud Nine ,3,0.4,1.2,45,40,60,40,75,50,310
373,#122,#334,Altaria,Dragon,Flying,Blue,Natural CureAltaria,0,Cloud Nine ,3,1.1,20.6,75,70,90,70,105,80,490
374,#123,#335,Zangoose,Normal,0,White,Immunity,0,Toxic Boost ,3,1.3,40.3,73,115,60,60,60,90,458
375,#124,#336,Seviper,Poison,0,Black,Shed Skin,0,Infiltrator ,3,2.7,52.5,73,100,60,100,60,65,458
376,#125,#337,Lunatone,Rock,Psychic,Yellow,0,0,Cacophony ,3,1.0,168.0,70,55,65,95,85,70,440
377,#126,#338,Solrock,Rock,Psychic,Red,0,0,Cacophony ,3,1.2,154.0,70,95,85,55,65,70,440
378,#127,#339,Barboach,Water,Ground,Gray,Oblivious,Anticipation,Hydration ,3,0.4,1.9,50,48,43,46,41,60,288
379,#128,#340,Whiscash,Water,Ground,Blue,Oblivious,Anticipation,Hydration ,3,0.9,23.6,110,78,73,76,71,60,468
380,#129,#341,Corphish,Water,0,Red,Hyper Cutter,Shell Armor,Adaptability ,3,0.6,11.5,43,80,65,50,35,35,308
381,#130,#342,Crawdaunt,Water,Dark,Red,Hyper Cutter,Shell Armor,Adaptability ,3,1.1,32.8,63,120,85,90,55,55,468
382,#131,#343,Baltoy,Ground,Psychic,Brown,0,0,Cacophony ,3,0.5,21.5,40,40,55,40,70,55,300
383,#132,#344,Claydol,Ground,Psychic,Black,0,0,Cacophony ,3,1.5,108.0,60,70,105,70,120,75,500
384,#133,#345,Lileep,Rock,Grass,Purple,Suction Cups,0,Storm Drain ,3,1.0,23.8,66,41,77,61,87,23,355
385,#134,#346,Cradily,Rock,Grass,Green,Suction Cups,0,Storm Drain ,3,1.5,60.4,86,81,97,81,107,43,495
386,#135,#347,Anorith,Rock,Bug,Gray,Battle Armor,0,Swift Swim ,3,0.7,12.5,45,95,50,40,50,75,355
387,#136,#348,Armaldo,Rock,Bug,Gray,Battle Armor,0,Swift Swim ,3,1.5,68.2,75,125,100,70,80,45,495
388,#140,#349,Feebas,Water,0,Brown,Swift Swim,ObliviousGen VI+,Adaptability ,3,0.6,7.4,20,15,20,10,55,80,200
389,#141,#350,Milotic,Water,0,Pink,Marvel Scale,Competitive,Cute Charm ,3,6.2,162.0,95,60,79,100,125,81,540
390,#142,#351,Castform,Normal,0,Gray,0,0,Cacophony ,3,0.3,0.8,70,70,70,70,70,70,420
391,#142,#351,Castform,Fire,0,Gray,0,0,Cacophony ,3,0.3,0.8,70,70,70,70,70,70,420
392,#142,#351,Castform,Water,0,Gray,0,0,Cacophony ,3,0.3,0.8,70,70,70,70,70,70,420
393,#142,#351,Castform,Ice,0,Gray,0,0,Cacophony ,3,0.3,0.8,70,70,70,70,70,70,420
394,#145,#352,Kecleon,Normal,0,Green,Color Change,0,Protean ,3,1.0,22.0,60,90,70,60,120,40,440
395,#146,#353,Shuppet,Ghost,0,Black,Insomnia,FriskGen IV+,Cursed Body ,3,0.6,2.3,44,75,35,63,33,45,295
396,#147,#354,Banette,Ghost,0,Black,Insomnia,FriskGen IV+Banette,Cursed Body ,3,1.1,12.5,64,115,65,83,63,65,455
397,#148,#355,Duskull,Ghost,0,Black,Levitate,0,FriskGen VI+ ,3,0.8,15.0,20,40,90,30,90,25,295
398,#149,#356,Dusclops,Ghost,0,Black,Pressure,0,FriskGen VI+ ,3,1.6,30.6,40,70,130,60,130,25,455
399,#150,#357,Tropius,Grass,Flying,Green,Chlorophyll,Solar PowerGen IV+,Harvest ,3,2.0,100.0,99,68,83,72,87,51,460
400,#151,#358,Chimecho,Psychic,0,Blue,0,0,Cacophony ,3,0.6,1.0,65,50,70,95,80,65,425
401,#152,#359,Absol,Dark,0,White,Pressure,Super LuckAbsol,Justified ,3,1.2,47.0,65,130,60,75,60,75,465
402,#160,#360,Wynaut,Psychic,0,Blue,Shadow Tag,0,Telepathy ,3,0.6,14.0,95,23,48,23,48,23,260
403,#171,#361,Snorunt,Ice,0,Gray,Inner Focus,Ice BodyGen IV+,Moody ,3,0.7,16.8,50,50,50,50,50,50,300
404,#172,#362,Glalie,Ice,0,Gray,Inner Focus,Ice BodyGlalie,Moody ,3,1.5,256.5,80,80,80,80,80,80,480
405,#173,#363,Spheal,Ice,Water,Blue,Thick Fat,Ice BodyGen IV+,Oblivious ,3,0.8,39.5,70,40,50,55,50,25,290
406,#174,#364,Sealeo,Ice,Water,Blue,Thick Fat,Ice BodyGen IV+,Oblivious ,3,1.1,87.6,90,60,70,75,70,45,410
